Type,Location Name,Commodity,Trading Days,Trading Hours,Number Of Pitches Or Kiosks,Category,Spatial Accuracy,Location,Last Uploaded
Parking within 100 metres,2 paid-for spaces on Bedford Avenue (WC1B 3GH); tariff is £5.55 p/h and maximum stay is 2 hours.,N/A,,mon-sat 08:30-18:30,,,N/A,POINT (-0.130374 51.517721),23/01/2019
Parking within 100 metres,3 paid-for spaces on Goodge Place (W1T 4SF); tariff is £5.55 p/h and maximum stay is 2 hours.,N/A,,mon-sat 08:30-18:30,,,N/A,POINT (-0.136732 51.519459),23/01/2019
Parking within 100 metres,1 paid-for space on Herbrand Street (WC1N 1JD); tariff is £5.55 p/h and maximum stay is 2 hours.,N/A,,"mon-fri 08:30-18:30, sat 08:30-13:30",,,N/A,POINT (-0.12445 51.522627),23/01/2019
Kiosk,Kentish Town Road,Flowers,Monday - Saturday,7am-7pm,1,,Property Level,POINT (-0.140474 51.550723),23/01/2019
Kiosk,Warren Street,Fruit and Vegetables,Monday - Friday,7am-7pm,1,,Property Level,POINT (-0.138029 51.524538),23/01/2019
Kiosk,Hampstead Tube Station,Newspapers,Monday - Friday,7am-7pm,1,,Property Level,POINT (-0.178416 51.556678),23/01/2019
Kiosk,High Holborn (West),Fruit and Vegetables,Monday - Friday,7am-7pm,3,,Property Level,POINT (-0.12011 51.517404),23/01/2019
Parking within 100 metres,8 paid-for spaces on Queen's Crescent (NW5 4EG); tariff is £2.55 p/h and maximum stay is 1 hour.,N/A,,mon-fri 09:00-11:00,,,N/A,POINT (-0.152451 51.549527),23/01/2019
Parking within 100 metres,4 paid-for spaces on Ingham Road (NW6 1DH); tariff is £2.00 p/h and maximum stay is 2 hours.,N/A,,mon-fri 08:30-18:30,,,N/A,POINT (-0.196391 51.555229),23/01/2019
Kiosk,High Holborn (West),Fruit and Vegetables,Monday - Friday,7am-7pm,3,,Property Level,POINT (-0.12021 51.517414),23/01/2019
Parking within 100 metres,1 paid-for space on Chenies Street (WC1E 7EU); tariff is £5.55 p/h and maximum stay is 2 hours.,N/A,,mon-sat 08:30-18:30,,,N/A,POINT (-0.133735 51.520473),23/01/2019
Parking within 100 metres,6 paid-for spaces on Queen Square (WC1N 3BG); tariff is £5.55 p/h and maximum stay is 2 hours.,N/A,,"mon-fri 08:30-18:30, sat 08:30-13:30",,,N/A,POINT (-0.122068 51.52168),23/01/2019
Parking within 100 metres,2 paid-for spaces on Great Ormond Street (WC1N 3HR); tariff is £5.55 p/h and maximum stay is 2 hours.,N/A,,"mon-fri 08:30-18:30, sat 08:30-13:30",,,N/A,POINT (-0.121046 51.521628),23/01/2019
Parking within 100 metres,3 paid-for spaces on Chalton Street (NW1 1HS); tariff is £3.45 p/h and maximum stay is 2 hours.,N/A,,mon-fri 08:30-18:30,,,N/A,POINT (-0.130173 51.529669000000005),23/01/2019
Parking within 100 metres,8 paid-for spaces on Heath Street (NW3 6TU); tariff is £3.45 p/h and maximum stay is 2 hours.,N/A,,mon-sat 09:00-18:00,,,N/A,POINT (-0.178653 51.55616),23/01/2019
Parking within 100 metres,7 paid-for spaces on Marchmont Street (WC1N 1AP); tariff is £5.55 p/h and maximum stay is 2 hours.,N/A,,"mon-fri 08:30-18:30, sat 08:30-13:30",,,N/A,POINT (-0.125255 51.525148),23/01/2019
Kiosk,Theobalds Road,Various,Monday - Saturday,7am-7pm,1,,Property Level,POINT (-0.120574 51.519435),23/01/2019
Kiosk,Tottenham Court Road (Dominion),Various,Monday - Saturday,7am-7pm,1,,Property Level,POINT (-0.130189 51.516621),23/01/2019
Parking within 100 metres,4 paid-for spaces on Malden Road (NW5 4BY); tariff is £2.55 p/h and maximum stay is 1 hour.,N/A,,mon-fri 08:30-18:30,,,N/A,POINT (-0.153187 51.54951200000001),23/01/2019
Parking within 100 metres,6 paid-for spaces on Ossulston Street (NW1 1JJ); tariff is £3.45 p/h and maximum stay is 4 hours.,N/A,,mon-fri 08:30-18:30,,,N/A,POINT (-0.1282 51.529251),23/01/2019
Parking within 100 metres,2 paid-for spaces on Herbrand Street (WC1N 1LB); tariff is £5.55 p/h and maximum stay is 2 hours.,N/A,,"mon-fri 08:30-18:30, sat 08:30-13:30",,,N/A,POINT (-0.125174 51.523268),23/01/2019
Parking within 100 metres,3 paid-for spaces on Heath Street (NW3 6TP); tariff is £3.45 p/h and maximum stay is 2 hours.,N/A,,mon-sat 09:00-18:00,,,N/A,POINT (-0.178539 51.555421),23/01/2019
Parking within 100 metres,4 paid-for spaces on Boswell Street (WC1N 3PZ); tariff is £5.55 p/h and maximum stay is 2 hours.,N/A,,"mon-fri 08:30-18:30, sat 08:30-13:30",,,N/A,POINT (-0.120714 51.520256),23/01/2019
Parking within 100 metres,2 paid-for spaces on Hampstead High Street (NW3 1QE); tariff is £3.45 p/h and maximum stay is 4 hours.,N/A,,mon-sat 09:00-18:00,,,N/A,POINT (-0.177529 51.556133),23/01/2019
Kiosk,Pleasant Row,Menswear,Monday - Saturday,8am-6pm,1,,Property Level,POINT (-0.141924 51.537788),23/01/2019
Parking within 100 metres,8 paid-for spaces on Queen's Crescent (NW5 4ED); tariff is £2.55 p/h and maximum stay is 1 hour.,N/A,,mon-fri 09:00-11:00,,,N/A,POINT (-0.152274 51.549615),23/01/2019
Parking within 100 metres,2 paid-for spaces on Fisher Street (WC1B 4AE); tariff is £5.55 p/h and maximum stay is 2 hours.,N/A,,"mon-fri 08:30-18:30, sat 08:30-13:30",,,N/A,POINT (-0.120418 51.518335),23/01/2019
Parking within 100 metres,2 paid-for spaces on Streatham Street (WC1A 1JB); tariff is £5.55 p/h and maximum stay is 2 hours.,N/A,,mon-sat 08:30-18:30,,,N/A,POINT (-0.127775 51.517131),23/01/2019
Parking within 100 metres,4 paid-for spaces on Greenland Street (NW1 0NG); tariff is £3.45 p/h and maximum stay is 2 hours.,N/A,,"mon-fri 08:30-18:30, sat-sun 09:30-17:30",,,N/A,POINT (-0.141428 51.538292000000006),23/01/2019
Parking within 100 metres,1 paid-for space on Randolph Street (NW1 0SP); tariff is £3.45 p/h and maximum stay is 2 hours.,N/A,,mon-fri 08:30-18:30,,,N/A,POINT (-0.137684 51.541326000000005),23/01/2019
Parking within 100 metres,6 paid-for spaces on Chalton Street (NW1 1JB); tariff is £3.45 p/h and maximum stay is 2 hours.,N/A,,mon-fri 08:30-18:30,,,N/A,POINT (-0.129854 51.529367),23/01/2019
Parking within 100 metres,2 paid-for spaces on Holly Bush Vale (NW3 6TX); tariff is £3.45 p/h and maximum stay is 2 hours.,N/A,,"mon-fri 09:00-18:30, sat 09:30-13:30",,,N/A,POINT (-0.178942 51.556515),23/01/2019
Parking within 100 metres,5 paid-for spaces on Haverstock Hill (NW3 4QX); tariff is £2.55 p/h and maximum stay is 2 hours.,N/A,,"mon-fri 09:00-18:30, sat 09:30-13:30",,,N/A,POINT (-0.163977 51.549852),23/01/2019
Parking within 100 metres,2 paid-for spaces on Hampstead High Street (NW3 1QB); tariff is £3.45 p/h and maximum stay is 2 hours.,N/A,,mon-sat 09:00-18:00,,,N/A,POINT (-0.176748 51.555833),23/01/2019
Parking within 100 metres,3 paid-for spaces on Swain's Lane (NW5 1QX); tariff is £2.55 p/h and maximum stay is 1 hour.,N/A,,mon-fri 10:00-12:00,,,N/A,POINT (-0.150225 51.561722),23/01/2019
Parking within 100 metres,5 paid-for spaces on Great Ormond Street (WC1N 3HR); tariff is £5.55 p/h and maximum stay is 2 hours.,N/A,,"mon-fri 08:30-18:30, sat 08:30-13:30",,,N/A,POINT (-0.121136 51.521557),23/01/2019
Parking within 100 metres,1 paid-for space on Goodge Place (W1T 4SQ); tariff is £5.55 p/h and maximum stay is 2 hours.,N/A,,mon-sat 08:00-18:30,,,N/A,POINT (-0.137053 51.519707000000004),23/01/2019
Parking within 100 metres,2 paid-for spaces on Fortune Green Road (NW6 1DH); tariff is £2.00 p/h and maximum stay is 2 hours.,N/A,,mon-fri 08:30-18:30,,,N/A,POINT (-0.196523 51.555528),23/01/2019
Parking within 100 metres,4 paid-for spaces on Queen Square (WC1N 3HR); tariff is £5.55 p/h and maximum stay is 2 hours.,N/A,,"mon-fri 08:30-18:30, sat 08:30-13:30",,,N/A,POINT (-0.121898 51.521588),23/01/2019
Parking within 100 metres,5 paid-for spaces on Frideswide Place (NW5 2AA); tariff is £2.55 p/h and maximum stay is 2 hours.,N/A,,mon-fri 08:30-18:30,,,N/A,POINT (-0.140034 51.550195),23/01/2019
Parking within 100 metres,2 paid-for spaces on Herbrand Street (WC1N 1LJ); tariff is £5.55 p/h and maximum stay is 2 hours.,N/A,,"mon-fri 08:30-18:30, sat 08:30-13:30",,,N/A,POINT (-0.124758 51.52286500000001),23/01/2019
Parking within 100 metres,2 paid-for spaces on Little Russell Street (WC1A 2HH); tariff is £5.55 p/h and maximum stay is 2 hours.,N/A,,mon-sat 08:30-18:30,,,N/A,POINT (-0.125852 51.51764),23/01/2019
Parking within 100 metres,2 paid-for spaces on Bernard Street (WC1N 1LJ); tariff is £5.55 p/h and maximum stay is 2 hours.,N/A,,"mon-fri 08:30-18:30, sat 08:30-13:30",,,N/A,POINT (-0.124718 51.52312500000001),23/01/2019
Camden Market,Queen's Crescent,"Traditional Retail goods, Clothes and Jewellery, Street Food",Thursday;Saturday,7am-7pm,77,,Property Level,POINT (-0.151332 51.550085),23/01/2019
Parking within 100 metres,2 paid-for spaces on Buck Street (NW1 8NS); tariff is £3.45 p/h and maximum stay is 2 hours.,N/A,,"mon-fri 08:30-18:30, sat-sun 09:30-17:30",,,N/A,POINT (-0.143208 51.540245),23/01/2019
Parking within 100 metres,5 paid-for spaces on New North Street (WC1X 8RX); tariff is £5.55 p/h and maximum stay is 2 hours.,N/A,,"mon-fri 08:30-18:30, sat 08:30-13:30",,,N/A,POINT (-0.119707 51.520204),23/01/2019
Parking within 100 metres,1 paid-for space on Warren Street (W1T 5PA); tariff is £5.55 p/h and maximum stay is 2 hours.,N/A,,mon-sat 08:30-18:30,,,N/A,POINT (-0.138797 51.524312),23/01/2019
Parking within 100 metres,1 paid-for space on Warren Street (W1T 5NZ); tariff is £5.55 p/h and maximum stay is 2 hours.,N/A,,mon-sat 08:30-18:30,,,N/A,POINT (-0.13903 51.524262),23/01/2019
Camden Market,Goodge Place,Street Food,Monday - Saturday,7am-7pm,5,,Property Level,POINT (-0.136379 51.519274),23/01/2019
Parking within 100 metres,2 paid-for spaces on Herbrand Street (WC1N 1LJ); tariff is £5.55 p/h and maximum stay is 2 hours.,N/A,,"mon-fri 08:30-18:30, sat 08:30-13:30",,,N/A,POINT (-0.124758 51.52286500000001),23/01/2019
Parking within 100 metres,3 paid-for spaces on Eton Avenue (NW3 3HJ); tariff is £2.55 p/h and maximum stay is 4 hours.,N/A,,"mon-fri 09:00-18:30, sat 09:30-13:30",,,N/A,POINT (-0.170176 51.544535),23/01/2019
Parking within 100 metres,6 paid-for spaces on Queen Square (WC1N 3AR); tariff is £5.55 p/h and maximum stay is 2 hours.,N/A,,"mon-fri 08:30-18:30, sat 08:30-13:30",,,N/A,POINT (-0.122453 51.521426),23/01/2019
Parking within 100 metres,5 paid-for spaces on Fortune Green Road (NW6 1DF); tariff is £2.00 p/h and maximum stay is 2 hours.,N/A,,mon-fri 08:30-18:30,,,N/A,POINT (-0.196859 51.555047),23/01/2019
Parking within 100 metres,3 paid-for spaces on Chalton Street (NW1 1JD); tariff is £3.45 p/h and maximum stay is 2 hours.,N/A,,mon-fri 08:30-18:30,,,N/A,POINT (-0.129563 51.529075),23/01/2019
Parking within 100 metres,2 paid-for spaces on Whitfield Street (W1T 5LN); tariff is £5.55 p/h and maximum stay is 2 hours.,N/A,,mon-sat 08:30-18:30,,,N/A,POINT (-0.139109 51.524074),23/01/2019
Parking within 100 metres,4 paid-for spaces on Hampstead High Street (NW3 1QH); tariff is £3.45 p/h and maximum stay is 2 hours.,N/A,,mon-sat 09:00-18:00,,,N/A,POINT (-0.17793 51.556212),23/01/2019
Parking within 100 metres,5 paid-for spaces on Ossulston Street (NW1 1JJ); tariff is £3.45 p/h and maximum stay is 4 hours.,N/A,,mon-fri 08:30-18:30,,,N/A,POINT (-0.128533 51.529589),23/01/2019
Parking within 100 metres,6 paid-for spaces on Goldhurst Terrace (NW6 3HY); tariff is £2.55 p/h and maximum stay is 30 minutes.,N/A,,mon-sat 08:30-22:00,,,N/A,POINT (-0.179468 51.545876),23/01/2019
Kiosk,Tottenham Court Road (Hanway Street),Flowers,Monday - Saturday,7am-7pm,1,,Property Level,POINT (-0.130905 51.517082),23/01/2019
Kiosk,Mornington Crescent,Newspapers,Monday - Friday,7am-7pm,1,,Property Level,POINT (-0.13898 51.534315),23/01/2019
Parking within 100 metres,2 paid-for spaces on Arlington Road (NW1 7HL); tariff is £3.45 p/h and maximum stay is 2 hours.,N/A,,"mon-fri 08:30-18:30, sat-sun 09:30-17:30",,,N/A,POINT (-0.144133 51.538776),23/01/2019
Parking within 100 metres,6 paid-for spaces on Kentish Town Road (NW5 2TJ); tariff is £2.55 p/h and maximum stay is 2 hours.,N/A,,mon-fri 10:00-16:00,,,N/A,POINT (-0.140808 51.550306),23/01/2019
Parking within 100 metres,6 paid-for spaces on Mansfield Road (NW3 2HU); tariff is £2.55 p/h and maximum stay is 2 hours.,N/A,,"mon-fri 09:00-18:30, sat 09:30-13:30",,,N/A,POINT (-0.155319 51.553853),23/01/2019
Parking within 100 metres,4 paid-for spaces on Warren Street (W1T 5LF); tariff is £5.55 p/h and maximum stay is 2 hours.,N/A,,mon-sat 08:30-18:30,,,N/A,POINT (-0.138871 51.524259),23/01/2019
Kiosk,Birchington Road,Fruit and Vegetables,Monday - Saturday,7am-6pm,1,,Property Level,POINT (-0.194334 51.539055),23/01/2019
Parking within 100 metres,1 paid-for space on Herbrand Street (WC1N 1JD); tariff is £5.55 p/h and maximum stay is 2 hours.,N/A,,"mon-fri 08:30-18:30, sat 08:30-13:30",,,N/A,POINT (-0.12445 51.522627),23/01/2019
Parking within 100 metres,3 paid-for spaces on Chalton Street (NW1 1JD); tariff is £3.45 p/h and maximum stay is 2 hours.,N/A,,mon-fri 08:30-18:30,,,N/A,POINT (-0.129563 51.529075),23/01/2019
Kiosk,Marchmont Street,Various,Monday - Friday,7am-7pm,1,,Property Level,POINT (-0.124904 51.524649),23/01/2019
Parking within 100 metres,4 paid-for spaces on Chalton Street (NW1 1JD); tariff is £3.45 p/h and maximum stay is 2 hours.,N/A,,mon-fri 08:30-18:30,,,N/A,POINT (-0.129438 51.528956),23/01/2019
Parking within 100 metres,4 paid-for spaces on Warren Street (W1T 5LF); tariff is £5.55 p/h and maximum stay is 2 hours.,N/A,,mon-sat 08:30-18:30,,,N/A,POINT (-0.138871 51.524259),23/01/2019
Parking within 100 metres,1 paid-for space on Red Lion Square (WC1R 4RB); tariff is £5.55 p/h and maximum stay is 2 hours.,N/A,,"mon-fri 08:30-18:30, sat 08:30-13:30",,,N/A,POINT (-0.11918 51.519332),23/01/2019
Parking within 100 metres,2 paid-for spaces on Glenloch Road (NW3 4QH); tariff is £2.55 p/h and maximum stay is 4 hours.,N/A,,"mon-fri 09:00-18:30, sat 09:30-13:30",,,N/A,POINT (-0.165127 51.550293),23/01/2019
Parking within 100 metres,1 paid-for space on Catton Street (WC1B 4AE); tariff is £5.55 p/h and maximum stay is 2 hours.,N/A,,"mon-fri 08:30-18:30, sat 08:30-13:30",,,N/A,POINT (-0.120312 51.518118),23/01/2019
Parking within 100 metres,5 paid-for spaces on Old Gloucester Street (WC1N 3AD); tariff is £5.55 p/h and maximum stay is 2 hours.,N/A,,"mon-fri 08:30-18:30, sat 08:30-13:30",,,N/A,POINT (-0.121312 51.520067),23/01/2019
Parking within 100 metres,6 paid-for spaces on Queen Square (WC1N 3AR); tariff is £5.55 p/h and maximum stay is 2 hours.,N/A,,"mon-fri 08:30-18:30, sat 08:30-13:30",,,N/A,POINT (-0.122453 51.521426),23/01/2019
Parking within 100 metres,4 paid-for spaces on Chalton Street (NW1 2AL); tariff is £3.45 p/h and maximum stay is 2 hours.,N/A,,mon-fri 08:30-18:30,,,N/A,POINT (-0.129036 51.528563),23/01/2019
Kiosk,Tottenham Court Road (Chenies Street),Electrical Repairs,Monday - Sunday,7am-7pm,1,,Property Level,POINT (-0.133983 51.520414),23/01/2019
Parking within 100 metres,4 paid-for spaces on Hampstead High Street (NW3 1QH); tariff is £3.45 p/h and maximum stay is 2 hours.,N/A,,mon-sat 09:00-18:00,,,N/A,POINT (-0.17793 51.556212),23/01/2019
Parking within 100 metres,1 paid-for space on Catton Street (WC1B 4AE); tariff is £5.55 p/h and maximum stay is 2 hours.,N/A,,"mon-fri 08:30-18:30, sat 08:30-13:30",,,N/A,POINT (-0.120312 51.518118),23/01/2019
Parking within 100 metres,1 paid-for space on Hampstead High Street (NW3 1QD); tariff is £3.45 p/h and maximum stay is 2 hours.,N/A,,mon-sat 09:00-18:00,,,N/A,POINT (-0.177174 51.555993),23/01/2019
Parking within 100 metres,3 paid-for spaces on Harrington Square (NW1 2JH); tariff is £3.45 p/h and maximum stay is 2 hours.,N/A,,"mon-fri 08:30-18:30, sat-sun 09:30-17:30",,,N/A,POINT (-0.138755 51.533475),23/01/2019
Parking within 100 metres,1 paid-for space on Whitfield Street (W1T 2RG); tariff is £5.55 p/h and maximum stay is 2 hours.,N/A,,mon-sat 08:30-18:30,,,N/A,POINT (-0.134375 51.519628),23/01/2019
Parking within 100 metres,4 paid-for spaces on Ossulston Street (NW1 1JJ); tariff is £3.45 p/h and maximum stay is 2 hours.,N/A,,mon-fri 08:30-18:30,,,N/A,POINT (-0.128322 51.52946),23/01/2019
Parking within 100 metres,5 paid-for spaces on Russell Square (WC1B 5EG); tariff is £5.55 p/h and maximum stay is 2 hours.,N/A,,mon-sat 08:30-18:30,,,N/A,POINT (-0.126299 51.522548),23/01/2019
Parking within 100 metres,2 paid-for spaces on Ossulston Street (NW1 1JJ); tariff is £3.45 p/h and maximum stay is 4 hours.,N/A,,mon-fri 08:30-18:30,,,N/A,POINT (-0.128558 51.52968),23/01/2019
Parking within 100 metres,1 paid-for space on Lincoln's Inn Fields (WC2A 3JX); tariff is £5.55 p/h and maximum stay is 2 hours.,N/A,,mon-sat 08:30-18:30,,,N/A,POINT (-0.118397 51.516316),23/01/2019
Parking within 100 metres,3 paid-for spaces on Tottenham Street (W1T 4JB); tariff is £5.55 p/h and maximum stay is 2 hours.,N/A,,mon-sat 08:30-18:30,,,N/A,POINT (-0.137472 51.519687),23/01/2019
Parking within 100 metres,6 paid-for spaces on Chalton Street (NW1 1JB); tariff is £3.45 p/h and maximum stay is 2 hours.,N/A,,mon-fri 08:30-18:30,,,N/A,POINT (-0.129854 51.529367),23/01/2019
Parking within 100 metres,5 paid-for spaces on Crestfield Street (WC1H 8AT); tariff is £5.55 p/h and maximum stay is 2 hours.,N/A,,"mon-fri 08:30-18:30, sat 08:30-13:30",,,N/A,POINT (-0.122738 51.52991),23/01/2019
Parking within 100 metres,2 paid-for spaces on Bernard Street (WC1N 1LJ); tariff is £5.55 p/h and maximum stay is 2 hours.,N/A,,"mon-fri 08:30-18:30, sat 08:30-13:30",,,N/A,POINT (-0.124718 51.52312500000001),23/01/2019
Kiosk,Parkway,Newspapers,Monday - Saturday,7am-7pm,2,,Property Level,POINT (-0.14302 51.538857),23/01/2019
Parking within 100 metres,2 paid-for spaces on Herbrand Street (WC1N 1LB); tariff is £5.55 p/h and maximum stay is 2 hours.,N/A,,"mon-fri 08:30-18:30, sat 08:30-13:30",,,N/A,POINT (-0.125338 51.523486),23/01/2019
Kiosk,Twyford Place,Fruit and Vegetables,Monday - Friday,7am-7pm,1,,Property Level,POINT (-0.119572 51.516722),23/01/2019
Parking within 100 metres,9 paid-for spaces on Highgate Road (NW5 1QU); tariff is £2.55 p/h and maximum stay is 1.5 hours.,N/A,,mon-fri 10:00-12:00,,,N/A,POINT (-0.150327 51.560627),23/01/2019
Parking within 100 metres,2 paid-for spaces on Herbrand Street (WC1N 1LB); tariff is £5.55 p/h and maximum stay is 2 hours.,N/A,,"mon-fri 08:30-18:30, sat 08:30-13:30",,,N/A,POINT (-0.125338 51.523486),23/01/2019
Parking within 100 metres,3 paid-for spaces on Chenies Street (WC1E 7EY); tariff is £5.55 p/h and maximum stay is 2 hours.,N/A,,mon-sat 08:30-18:30,,,N/A,POINT (-0.133136 51.52067),23/01/2019
Parking within 100 metres,7 paid-for spaces on Bonny Street (NW1 9PE); tariff is £3.45 p/h and maximum stay is 2 hours.,N/A,,"mon-fri 08:30-18:30, sat-sun 09:30-17:30",,,N/A,POINT (-0.139714 51.541772),23/01/2019
Parking within 100 metres,5 paid-for spaces on Royal College Street (NW1 9NN); tariff is £3.45 p/h and maximum stay is 2 hours.,N/A,,mon-fri 08:30-18:30,,,N/A,POINT (-0.138884 51.542317),23/01/2019
Parking within 100 metres,2 paid-for spaces on Hampstead High Street (NW3 1QE); tariff is £3.45 p/h and maximum stay is 4 hours.,N/A,,mon-sat 09:00-18:00,,,N/A,POINT (-0.177529 51.556133),23/01/2019
Camden Market,Leather Lane,Street Food,Monday - Friday,7am-7pm,141,,Property Level,POINT (-0.109575 51.520517),23/01/2019
Parking within 100 metres,6 paid-for spaces on Belgrove Street (WC1H 8AB); tariff is £5.55 p/h and maximum stay is 2 hours.,N/A,,"mon-fri 08:30-18:30, sat 08:30-13:30",,,N/A,POINT (-0.123328 51.529587),23/01/2019
Parking within 100 metres,8 paid-for spaces on Heath Street (NW3 6TU); tariff is £3.45 p/h and maximum stay is 2 hours.,N/A,,mon-sat 09:00-18:00,,,N/A,POINT (-0.178653 51.55616),23/01/2019
Parking within 100 metres,5 paid-for spaces on Old Gloucester Street (WC1N 3AD); tariff is £5.55 p/h and maximum stay is 2 hours.,N/A,,"mon-fri 08:30-18:30, sat 08:30-13:30",,,N/A,POINT (-0.121312 51.520067),23/01/2019
Kiosk,Bernard Street,Fruit and Vegetables,Monday - Saturday,7am-7pm,1,,Property Level,POINT (-0.12443 51.52313),23/01/2019
Kiosk,Spaniards Road,Flowers,Monday - Sunday,7am-7pm,1,,Property Level,POINT (-0.174676 51.56922300000001),23/01/2019
Parking within 100 metres,4 paid-for spaces on Chalton Street (NW1 1JD); tariff is £3.45 p/h and maximum stay is 2 hours.,N/A,,mon-fri 08:30-18:30,,,N/A,POINT (-0.129438 51.528956),23/01/2019
Parking within 100 metres,5 paid-for spaces on Heath Street (NW3 6TP); tariff is £3.45 p/h and maximum stay is 2 hours.,N/A,,mon-sat 09:00-18:00,,,N/A,POINT (-0.178383 51.555337),23/01/2019
Kiosk,Queen Square,Fruit and Vegetables,Monday - Saturday,7am-7pm,1,,Property Level,POINT (-0.121987 51.521184),23/01/2019
Parking within 100 metres,6 paid-for spaces on Queen Square (WC1N 3BG); tariff is £5.55 p/h and maximum stay is 2 hours.,N/A,,"mon-fri 08:30-18:30, sat 08:30-13:30",,,N/A,POINT (-0.122068 51.52168),23/01/2019
Parking within 100 metres,8 paid-for spaces on Bernard Street (WC1N 1LN); tariff is £5.55 p/h and maximum stay is 2 hours.,N/A,,"mon-fri 08:30-18:30, sat 08:30-13:30",,,N/A,POINT (-0.123656 51.52336),23/01/2019
Parking within 100 metres,3 paid-for spaces on Swain's Lane (N6 6QX); tariff is £2.55 p/h and maximum stay is 1.5 hours.,N/A,,mon-fri 10:00-12:00,,,N/A,POINT (-0.149626 51.561911),23/01/2019
