Name,Opening Hours,Building Name,Building Number,Street,Postcode,Telephone,E-Mail,Website,Ward Code,Ward Name,Easting,Northing,Longitude,Latitude,Location,Spatial Accuracy,Last Uploaded,Socrata ID
Community Toilet Scheme Greenlight Pharmacy,,,138,Drummond Street,NW1 2PA,020 7974 4444 (Contact Camden call centre),,http://www.camden.gov.uk/cts,E05000142,Regent's Park,529251,182509,-0.138202,51.526711,"(51.526711, -0.138202)",Local Land And Property Gazetteer,03/10/2021 11:46:04 AM,12
Kilburn Library Centre,"Mon – Sat, 11am to 3.30pm",,20221201,Kilburn High Road,NW6 5UH,020 7974 4444 (Contact Camden call centre),,http://www.camden.gov.uk/kilburnlibrary,E05000140,Kilburn,525552,183494,-0.191137,51.536389,"(51.536389, -0.191137)",Local Land And Property Gazetteer,03/10/2021 11:46:04 AM,32
Queens Crescent Library,"Mon – Sat, 11am to 3.30pm",Queens Crescent Branch Library,165,Queen's Crescent,NW5 4HH,020 7974 4444 (Contact Camden call centre),,http://www.camden.gov.uk/queenscrescentlibrary,E05000134,Gospel Oak,528284,185130,-0.151186,51.550488,"(51.550488, -0.151186)",Local Land And Property Gazetteer,03/10/2021 11:46:04 AM,41
Highgate Library,"Tue-Thu & Sat, 11am to 3.30pm",Highgate Library,59,Chester Road,N19 5DH,020 7974 4444 (Contact Camden call centre),,http://www.camden.gov.uk/highgatelibrary,E05000137,Highgate,528740,186620,-0.144068,51.563774,"(51.563774, -0.144068)",Local Land And Property Gazetteer,03/10/2021 11:46:04 AM,26
Millfield Lane Public Conveniences,Mon-Sun 7.30am-8.30pm.,168066,20499065,,,"020 7332 3322, 020 7332 3977",,http://www.cityoflondon.gov.uk/hampstead,E05000137,Highgate,527823,186842,-0.157195,51.565977,"(51.565977, -0.157195)",Local Land And Property Gazetteer,03/10/2021 11:46:04 AM,37
Community Toilet Scheme Streets Coffee,,,289,Finchley Road,NW3 6ND,020 7974 4444 (Contact Camden call centre),,http://www.camden.gov.uk/cts,E05000145,West Hampstead,526154,184949,-0.18195,51.549337,"(51.549337, -0.18195)",Local Land And Property Gazetteer,03/10/2021 11:46:04 AM,19
Russell Square Public Conveniences,24 hours.,Public Convenience,,Russell Square,,020 7974 4444 (Contact Camden call centre),,http://www.camden.gov.uk/toilets,E05000129,Bloomsbury,530113,182073,-0.125951,51.522588,"(51.522588, -0.125951)",Local Land And Property Gazetteer,03/10/2021 11:46:04 AM,44
West Hampstead Underground Station,,West Hampstead Underground Station,,West End Lane,NW6 2LS,0343 222 1234,,http://content.tfl.gov.uk/toilets-map.pdf,E05000145,West Hampstead,525552,184649,-0.19073,51.546771,"(51.546771, -0.19073)",Local Land And Property Gazetteer,03/10/2021 11:46:05 AM,53
Lincolns Inn Fields Public Conveniences,"1st Nov–31st May 9am-6pm. 1st Jun–31st Oct  9am-8pm, 7 days.",Public Convenience,,Lincoln's Inn Fields,,020 7974 4444 (Contact Camden call centre),,http://www.camden.gov.uk/toilets,E05000138,Holborn and Covent Garden,530862,181462,-0.115388,51.516933,"(51.516933, -0.115388)",Local Land And Property Gazetteer,03/10/2021 11:46:04 AM,36
Mornington Crescent Pop-up Urinal,"8pm - 5am, Friday- Sunday",Public Convenience,Near 2 Camden High Street,,NW1 OJH,020 7974 4444 (Contact Camden call centre),,http://www.camden.gov.uk/toilets,E05000142,Regent's Park,529195.9414814279,183401.02151212952,-0.138661,51.534741,"(51.534741, -0.138661)",Local Land And Property Gazetteer,03/10/2021 11:46:04 AM,38
Swiss Cottage Central Library,"Mon – Sat, 11am to 3.30pm",Swiss Cottage Library,88,Avenue Road,NW3 3HA,020 7974 4444 (Contact Camden call centre),,http://www.camden.gov.uk/swisscottagelibrary,E05000144,Swiss Cottage,526780,184180,-0.173208,51.54229,"(51.54229, -0.173208)",Local Land And Property Gazetteer,03/10/2021 11:46:05 AM,48
Euston Station Public Conveniences,"Mon-Thu 4.30am-1.35am, Fri-Sat 4.30am-2am, Sun 5.15am-1.35am.",Euston Railway Station,,Eversholt Street,NW1 2HS,020 7922 6482 (Customer Reception),,http://www.networkrail.co.uk/aspx/819.aspx,E05000142,Regent's Park,529587,182736,-0.13327,51.528667,"(51.528667, -0.13327)",Local Land And Property Gazetteer,03/10/2021 11:46:04 AM,22
Highgate Road Public Conveniences,Mon-Sun 8am-dusk.,Public Conveniences,,Highgate Road,,"020 7332 3322, 020 7332 3773",,http://www.cityoflondon.gov.uk/openspaces,E05000137,Highgate,528211,186126,-0.151861,51.559446,"(51.559446, -0.151861)",Local Land And Property Gazetteer,03/10/2021 11:46:04 AM,27
St Pancras International Station Public Conveniences,Mon-Sun 4.30am-00.30am.,St Pancras International Station,,Pancras Road,NW1 2QL,020 7843 4250,,http://www.stpancras.com,E05000143,St Pancras and Somers Town,530075,183056,-0.126121,51.53143,"(51.53143, -0.126121)",Local Land And Property Gazetteer,03/10/2021 11:46:04 AM,47
Kenwood House Public Conveniences,"9am-7pm (Summer), 9am-4pm (Winter).",Kenwood House,,Hampstead Lane,NW3 7JR,020 8348 1286,,http://www.camden.gov.uk/toilets,E05000137,Highgate,527087,187419,-0.1676,51.57132,"(51.57132, -0.1676)",Local Land And Property Gazetteer,03/10/2021 11:46:04 AM,31
Community Toilet Scheme Pedros Cafe,"Mon-Sun, 8am-4pm",,165,Kentish Town Road,NW1 8PD,020 7974 4444 (Contact Camden call centre),,http://www.camden.gov.uk/cts,E05000139,Kentish Town,528933,184628,-0.142015,51.54582,"(51.54582, -0.142015)",Local Land And Property Gazetteer,03/10/2021 11:46:04 AM,18
Community Toilet Scheme JW3 Community Centre,,Jewish Community Centre,341-351,Finchley Road,NW3 6ET,020 7974 4444 (Contact Camden call centre),,https://www.jw3.org.uk/,E05000145,West Hampstead,525979,185126,-0.184399,51.55097,"(51.55097, -0.184399)",Local Land And Property Gazetteer,03/10/2021 11:46:04 AM,13
Queens Crescent Public Conveniences,24 hours.,Public Convenience,,Queen's Crescent,,020 7974 4444 (Contact Camden call centre),,http://www.camden.gov.uk/toilets,E05000136,Haverstock,528174,184984,-0.152825,51.549201,"(51.549201, -0.152825)",Local Land And Property Gazetteer,03/10/2021 11:46:04 AM,42
Pond Square Public Conveniences,"1st Nov–31st May 9am-6pm. 1st Jun–31st Oct  9am-8pm, 7 days.",Public Convenience,,South Grove,,020 7974 4444 (Contact Camden call centre),,http://www.camden.gov.uk/toilets,E05000137,Highgate,528389,187368,-0.148856,51.570576,"(51.570576, -0.148856)",Local Land And Property Gazetteer,03/10/2021 11:46:04 AM,39
West End Lane Public Conveniences,"Toilets below ground via stairs. 1st Nov–31st May 9am-6pm. 1st Jun–31st Oct 9am-8pm, 7 days.",Public Convenience,,West End Lane,,020 7974 4444 (Contact Camden call centre),,http://www.camden.gov.uk/toilets,E05000145,West Hampstead,525431,185220,-0.19228,51.551928,"(51.551928, -0.19228)",Local Land And Property Gazetteer,03/10/2021 11:46:05 AM,50
Chalk Farm night time toilets,"8pm - 5am, Friday- Sunday",Public Convenience,Near Petrol Station,,NW1 8HQ,020 7974 4444 (Contact Camden call centre),,http://www.camden.gov.uk/toilets,E05000130,Camden Town with Primrose Hill,528428.3339113096,184281.41633692558,-0.149401,51.542828,"(51.542828, -0.149401)",Local Land And Property Gazetteer,03/10/2021 11:46:04 AM,7
East Heath Road Public Conveniences,"Daily 8am-3.30pm (winter), 8am-one hour before dusk (summer).",Public Conveniences,,East Heath Road,,020 7332 3322/3977,,http://www.cityoflondon.gov.uk/openspaces,E05000135,Hampstead Town,526691,186620,-0.173598,51.564237,"(51.564237, -0.173598)",Local Land And Property Gazetteer,03/10/2021 11:46:04 AM,21
Leather Lane Public Conveniences,24 hours.,Public Convenience,,Leather Lane,,020 7974 4444 (Contact Camden call centre),,http://www.camden.gov.uk/toilets,E05000138,Holborn and Covent Garden,531213,182025,-0.110122,51.521911,"(51.521911, -0.110122)",Local Land And Property Gazetteer,03/10/2021 11:46:04 AM,35
Community Toilet Scheme Nandos (West Hampstead),,,252-254,West End Lane,NW6 1LG,020 7974 4444 (Contact Camden call centre),,https://www.nandos.co.uk/eat/restaurants/west-hampstead,E05000145,West Hampstead,525484,185167,-0.19152,51.551449,"(51.551449, -0.19152)",Local Land And Property Gazetteer,03/10/2021 11:46:04 AM,17
St Giles High St Pop-up Urinal,Open 24 hrs,Public Convenience,Near 1,St Giles High Street,WC2H 8AG,020 7974 4444 (Contact Camden call centre),,http://www.camden.gov.uk/toilets,E05000138,Holborn and Covent Garden,530057,181289,-0.127043,51.515555,"(51.515555, -0.127043)",Local Land And Property Gazetteer,03/10/2021 11:46:04 AM,46
Regent's Park Chester Road Public Toilet,,Public Toilet,,,NW1 4NU,0300 061 2300,,https://www.royalparks.org.uk/parks/the-regents-park,,,528502.4242881855,182703.89822728653,-0.1489087,51.5286341,"(51.5286341, -0.1489087)",Local Land And Property Gazetteer,03/10/2021 11:46:04 AM,43
Kentish Town Library,"Mon – Sat, 11am to 3.30pm",Kentish Town Library,262-266,Kentish Town Road,NW5 2AA,020 7974 4444 (Contact Camden call centre),,http://www.camden.gov.uk/kentishtownlibrary,E05000139,Kentish Town,529029,185095,-0.140445,51.550003,"(51.550003, -0.140445)",Local Land And Property Gazetteer,03/10/2021 11:46:04 AM,30
Holborn Library,"Mon – Sat, 11am to 3.30pm",,32-38,Theobald's Road,WC1X 8PA,020 7974 4444 (Contact Camden call centre),,http://www.camden.gov.uk/holbornlibrary,E05000138,Holborn and Covent Garden,530827,181935,-0.115702,51.521182,"(51.521182, -0.115702)",Local Land And Property Gazetteer,03/10/2021 11:46:04 AM,28
Camden Town Male Public Conveniences,"Toilets below ground via stairs.1st Nov–31st May 9am-6pm. 1st Jun–31st Oct  9am-8pm, 7 days.",Public Convenience,,Camden High Street,NW1 0NS,020 7974 4444 (Contact Camden call centre),,http://www.camden.gov.uk/toilets,E05000130,Camden Town with Primrose Hill,528920,183854,-0.142486,51.538867,"(51.538867, -0.142486)",Local Land And Property Gazetteer,03/10/2021 11:46:04 AM,4
Lauderdale House,From 9am - dusk,Lauderdale House,,Highgate Hill,N6 5HG,,,http://www.lauderdalehouse.org.uk,E05000137,Highgate,528773,187236,-0.143352,51.569302,"(51.569302, -0.143352)",Local Land And Property Gazetteer,03/10/2021 11:46:04 AM,34
Community Toilet Scheme Abbey Road Community Centre,,Abbey Community Centre,222C,Belsize Road,NW6 4DJ,020 7974 4444 (Contact Camden call centre),,http://www.camden.gov.uk/cts,E05000140,Kilburn,525714,183840,-0.188679,51.539472,"(51.539472, -0.188679)",Local Land And Property Gazetteer,03/10/2021 11:46:04 AM,8
Hampstead Heath Public Conveniences,,Hampstead Heath,,Highgate Road,,020 7332 3322,,http://www.cityoflondon.gov.uk/hampstead,E05000137,Highgate,527750,185795,-0.158641,51.556578,"(51.556578, -0.158641)",Local Land And Property Gazetteer,03/10/2021 11:46:04 AM,24
Community Toilet Scheme Bloomsbury Central Baptist Church,,,235,Shaftesbury Avenue,WC2H 8EP,020 7974 4444 (Contact Camden call centre),,http://www.camden.gov.uk/cts,E05000138,Holborn and Covent Garden,530079,181386,-0.126691,51.51643,"(51.51643, -0.126691)",Local Land And Property Gazetteer,03/10/2021 11:46:04 AM,10
Crowndale Centre Public Conveniences,"Mon-Fri, 10am - 4pm",The Crowndale Centre,218,Eversholt Street,NW1 1BD,020 7974 1564,,http://www.camden.gov.uk/toilets,E05000142,Regent's Park,529261,183348,-0.137743,51.53425,"(51.53425, -0.137743)",Local Land And Property Gazetteer,03/10/2021 11:46:04 AM,20
